Species,Level1,Level2,Level3,Level4,all_ncrnas,cdsnos,cisregs,genes,hacasnos,riboswitches,ribozymes,snrnas,srnas
0,Ascomycota,Saccharomycotina,Saccharomycetes,Ashbya_gossypii_ATCC_10895,508,26,0,1,15,0,2,4,0
1,Ascomycota,Pezizomycotina,Eurotiomycetes,Aspergillus_fumigatus_Af293,177,17,0,1,2,0,2,8,4
2,Ascomycota,Pezizomycotina,Eurotiomycetes,Aspergillus_nidulans_FGSC_A4,111,17,0,1,0,1,1,6,5
3,Ascomycota,Pezizomycotina,Eurotiomycetes,Aspergillus_niger_CBS_513_88,244,17,0,1,1,0,1,7,4
4,Ascomycota,Pezizomycotina,Eurotiomycetes,Aspergillus_oryzae_RIB40,224,19,0,1,1,0,1,7,4
5,Ascomycota,Saccharomycotina,Saccharomycetes,Candida_albicans_SC5314,130,26,0,2,15,0,2,5,0
6,Ascomycota,Saccharomycotina,Saccharomycetes,Candida_albicans_WO-1,93,16,0,1,8,0,1,3,0
7,Ascomycota,Saccharomycotina,Saccharomycetes,Candida_bracarensis,214,24,0,1,14,0,1,4,0
8,Ascomycota,Saccharomycotina,Saccharomycetes,Candida_castellii,159,19,0,1,15,0,1,3,0
9,Ascomycota,Saccharomycotina,Saccharomycetes,Candida_dubliniensis_CD36,83,13,0,1,8,0,1,3,0
10,Ascomycota,Saccharomycotina,Saccharomycetes,Candida_glabrata_CBS_138,205,28,0,1,14,0,1,4,0
11,Ascomycota,Saccharomycotina,Saccharomycetes,Candida_nivariensis,217,23,0,1,13,0,1,4,0
12,Ascomycota,Saccharomycotina,Saccharomycetes,Candida_orthopsilosis,73,8,0,1,5,1,2,2,0
13,Basidiomycota,Agaricomycotina,Agaricomycetes,Coprinopsis_cinerea_okayama7,171,3,2,12,2,0,2,8,2
14,Basidiomycota,Agaricomycotina,Tremellomycetes,Cryptococcus_gattii_WM276,176,1,0,0,0,0,2,4,1
15,Basidiomycota,Agaricomycotina,Tremellomycetes,Cryptococcus_neoformans_var__grubii_H99,82,2,4,6,0,0,2,4,0
16,Ascomycota,Saccharomycotina,Saccharomycetes,Cyberlindnera_jadinii_NBRC_0988,154,17,0,1,10,0,2,4,0
17,Ascomycota,Saccharomycotina,Saccharomycetes,Debaryomyces_hansenii_CBS767,147,18,0,1,8,1,2,4,0
18,Ascomycota,Saccharomycotina,Saccharomycetes,Eremothecium_cymbalariae_DBVPG,154,22,0,1,16,0,1,4,0
19,Ascomycota,Pezizomycotina,Sordariomycetes,Fusarium_verticillioides_7600,209,10,0,7,1,0,2,11,2
20,Ascomycota,Saccharomycotina,Saccharomycetes,Kazachstania_africana_CBS_2517,262,27,0,1,20,0,2,4,0
21,Ascomycota,Saccharomycotina,Saccharomycetes,Kluyveromyces_lactis_NRRL_Y-1140,169,23,0,1,19,0,2,4,0
22,Ascomycota,Saccharomycotina,Saccharomycetes,Komagataella_pastoris_GS115,131,13,0,1,7,0,2,3,0
23,Ascomycota,Saccharomycotina,Saccharomycetes,Lachancea_thermotolerans_CBS_6340,210,27,0,1,18,0,2,4,0
24,Ascomycota,Pezizomycotina,Sordariomycetes,Magnaporthe_oryzae_70-15,219,8,2,25,3,0,2,7,2
25,Ascomycota,Saccharomycotina,Saccharomycetes,Millerozyma_farinosa_CBS_7064,238,19,0,4,15,0,4,8,0
26,Ascomycota,Pezizomycotina,Sordariomycetes,Myceliophthora_thermophila_ATCC_42464,268,11,1,2,0,0,2,9,2
27,Ascomycota,Saccharomycotina,Saccharomycetes,Nakaseomyces_bacillisporus,193,16,0,1,18,0,1,4,0
28,Ascomycota,Saccharomycotina,Saccharomycetes,Nakaseomyces_delphensis,221,20,0,1,16,0,1,4,0
29,Ascomycota,Saccharomycotina,Saccharomycetes,Naumovozyma_castellii_CBS_4309,307,29,2,6,26,0,2,4,2
30,Ascomycota,Pezizomycotina,Sordariomycetes,Nectria_haematococca_mpVI_77-13-4,221,11,0,1,0,0,2,7,2
31,Ascomycota,Pezizomycotina,Sordariomycetes,Neurospora_crassa_OR74A,322,11,0,1,1,0,3,13,2
32,Ascomycota,Saccharomycotina,Saccharomycetes,Ogataea_parapolymorpha_DL-1,95,10,0,1,8,2,2,5,0
33,Ascomycota,Pezizomycotina,Sordariomycetes,Podospora_anserina_S_mat,240,11,0,1,0,0,2,15,2
34,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomyces_cerevisiae_S288c,323,41,0,5,30,0,2,4,0
