,Ashbya_gossypii_ATCC_10895,Aspergillus_fumigatus_Af293,Aspergillus_nidulans_FGSC_A4,Aspergillus_niger_CBS_513_88,Aspergillus_oryzae_RIB40,Candida_albicans_SC5314,Candida_albicans_WO-1,Candida_bracarensis,Candida_castellii,Candida_dubliniensis_CD36,Candida_glabrata_CBS_138,Candida_nivariensis,Candida_orthopsilosis,Coprinopsis_cinerea_okayama7,Cryptococcus_gattii_WM276,Cryptococcus_neoformans_var__grubii_H99,Cyberlindnera_jadinii_NBRC_0988,Debaryomyces_hansenii_CBS767,Encephalitozoon_cuniculi_GB-M1,Eremothecium_cymbalariae_DBVPG,Fusarium_verticillioides_7600,Kazachstania_africana_CBS_2517,Kluyveromyces_lactis_NRRL_Y-1140,Komagataella_pastoris_GS115,Lachancea_thermotolerans_CBS_6340,Magnaporthe_oryzae_70-15,Millerozyma_farinosa_CBS_7064,Myceliophthora_thermophila_ATCC_42464,Nakaseomyces_bacillisporus,Nakaseomyces_delphensis,Naumovozyma_castellii_CBS_4309,Nectria_haematococca_mpVI_77-13-4,Neurospora_crassa_OR74A,Ogataea_parapolymorpha_DL-1,Podospora_anserina_S_mat,Saccharomyces_cerevisiae_S288c,standard_deviation
snR10,1,1,0,0,0,2,1,2,1,1,1,2,1,0,0,0,1,1,0,1,0,1,1,1,1,1,2,0,2,2,1,0,0,1,0,1,55.706582495548346
snR11,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,26.53485943871003
snR161,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,11.045813686641651
snR189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,33.75925798947601
snR191,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,2,0,1,1,1,0,0,1,0,1,24.290713887480436
snR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6.847546194724712
snR30,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,102.97215791718871
snR31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,14.730227148171704
snR32,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,14.490994433357224
snR33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
