,Ashbya_gossypii_ATCC_10895,Aspergillus_fumigatus_Af293,Aspergillus_nidulans_FGSC_A4,Aspergillus_niger_CBS_513_88,Aspergillus_oryzae_RIB40,Candida_albicans_SC5314,Candida_albicans_WO-1,Candida_bracarensis,Candida_castellii,Candida_dubliniensis_CD36,Candida_glabrata_CBS_138,Candida_nivariensis,Candida_orthopsilosis,Coprinopsis_cinerea_okayama7,Cryptococcus_gattii_WM276,Cryptococcus_neoformans_var__grubii_H99,Cyberlindnera_jadinii_NBRC_0988,Debaryomyces_hansenii_CBS767,Encephalitozoon_cuniculi_GB-M1,Eremothecium_cymbalariae_DBVPG,Fusarium_verticillioides_7600,Kazachstania_africana_CBS_2517,Kluyveromyces_lactis_NRRL_Y-1140,Komagataella_pastoris_GS115,Lachancea_thermotolerans_CBS_6340,Magnaporthe_oryzae_70-15,Millerozyma_farinosa_CBS_7064,Myceliophthora_thermophila_ATCC_42464,Nakaseomyces_bacillisporus,Nakaseomyces_delphensis,Naumovozyma_castellii_CBS_4309,Nectria_haematococca_mpVI_77-13-4,Neurospora_crassa_OR74A,Ogataea_parapolymorpha_DL-1,Podospora_anserina_S_mat,Saccharomyces_cerevisiae_S288c,standard_deviation
5S_rRNA,39,31,33,52,49,1,3,9,1,2,1,1,1,0,51,1,5,0,3,1,56,1,3,19,3,39,6,30,0,11,2,67,74,1,71,6,0.5428583563441239
5_8S_rRNA,39,1,0,4,2,1,2,0,1,1,1,1,1,0,50,1,3,0,0,2,2,1,3,0,4,1,3,2,0,1,2,0,4,1,1,2,1.7686840814689202
ACEA_U3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.5
Afu_182,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,11.602934937917809
Afu_190,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Afu_191,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6314597615834874
Afu_198,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49519052838329
Afu_199,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8613807855648994
Afu_203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Afu_254,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.448783457719791
